query	Preferred_name
g1115	CHST6.2
g1116	g1116
g1117	g1117
g1118	g1118
g1119	g1119
g1120	CYLD.1
g1121	F14E5.2
g1122	F14E5.2.1
g1123	g1123
g1124	gsa.1
g1125	g1125
g1126	Cralbp
g1127	g1127
g1128	g1128
g1129	g1129
g1130	Nlrp10
g1131	g1131
g1132	g1132
g1133	g1133
g1134	g1134
g1135	SLC47A2.1
g1136	SLC47A2.2
g1137	SLC47A2.3
g1138	SLC47A1
g1139	g1139
g1140	DAD1
g1141	GINS3
g1142	SLC38A8
g1143	MVD
g1144	g1144
g1145	g1145
g1146	AMFR
g1150	DHRS1
g1151	DHRS2
g1152	TP53RK
g1154	g1154
g1156	g1156
g1157	DIRAS1.2
g1158	g1158
g1159	IRF4
g1160	g1160
g1161	CYP27B1
g1162	GAL3ST1
g1163	g1163
g1165	DDX27
g1166	CALB1
g1167	CALB1.1
g1168	CALB1.2
g1169	g1169
g1170	g1170
g1171	TACR2.1
g1172	TACR2.2
g1173	B3GALNT2
g1174	BOLA3
g1175	g1175
g1176	g1176
g1178	TMPRSS6
g1179	g1179
g1180	g1180
g1182	g1182
g1183	g1183
g1184	g1184
g1185	g1185
g1186	glipr2
g1187	g1187
g1188	g1188
g1189	g1189
g1190	NPFFR1
g1191	g1191
g1192	g1192
g1193	g1193
g1194	g1194
g1195	glipr2.1
g1196	g1196
g1197	g1197
g1198	GLIPR2
g1199	g1199
g1200	g1200
g1201	CLPTM1L
g1202	RANBP10
g1203	g1203
g1204	POLR2C
g1206	g1206
g1207	g1207
g1208	g1208
g1209	g1209
g1210	SLC22A4
g1211	KIAA0513
g1212	DYNLRB2
g1213	TMEM198
g1215	g1215
g1216	g1216
g1217	g1217
g1218	DUSP22
g1219	g1219
g1220	IRF4.1
g1221	g1221
g1222	GPR50.1
g1223	g1223
g1224	ADORA1
g1225	g1225
g1226	THBS2
g1227	AGRN
g1228	ADORA1.1
g1229	KIAA1468
g1230	C16orf70
g1231	g1231
g1233	g1233
g1234	g1234
g1236	DERL1
g1237	g1237
g1238	g1238
g1239	SAMHD1
g1241	g1241
g1242	g1242
g1244	g1244
g1247	g1247
g1248	g1248
g1249	g1249
g1250	g1250
g1251	g1251
g1252	g1252
g1254	g1254
g1255	LRRCC1
g1256	ATP2C1
g1257	ARSB.1
g1259	ARSB.2
g1260	C20orf96
g1261	COX4I2
g1262	DECR1
g1263	g1263
g1264	g1264
g1265	P4HTM.10
g1266	g1266
g1267	ARL2BP
g1268	RNMT
g1270	TMEM208
g1271	g1271
g1272	LYRM4
g1273	g1273
g1274	ALOXE3
g1275	ALOXE3.1
g1277	ALOXE3.2
g1278	g1278
g1279	g1279
g1281	g1281
g1282	g1282
g1286	FIBCD1.2
g1287	g1287
g1288	g1288
g1289	ITGA9
g1290	ITGA9.1
g1291	ITGA9.2
g1292	ITGA9.3
g1293	FIBCD1.3
g1295	g1295
g1296	DUSP3
g1297	TMEM143
g1298	SEPT7
g1299	NECAB1
g1300	g1300
g1301	NDUFV2
g1302	NPEPL1
g1303	g1303
g1304	g1304
g1305	g1305
g1306	g1306
g1308	g1308
g1309	MTBP
g1310	g1310
g1312	PHKB
g1313	dltE
g1314	g1314
g1315	g1315
g1317	g1317
g1318	LCN1
g1319	ADORA2A
g1320	MFI2
g1321	MFI2.1
g1322	MFI2.2
g1323	ANKRD60
g1324	PARD6B
g1325	KDSR
g1326	g1326
g1327	PDF
g1329	g1329
g1330	ITIH4
g1331	g1331
g1332	ITIH4.1
g1333	ITIH3
g1336	g1336
g1338	MBTPS1
g1340	g1340
g1344	MOXD1.4
g1346	BRD7
g1347	SCCPDH
g1348	g1348
g1349	CALB1.3
g1350	CALB1.4
g1352	g1352
g1353	POMK
g1354	POMK.1
g1355	POMK.2
g1356	POMK.3
g1357	POMK.4
g1359	g1359
g1360	g1360
g1361	g1361
g1362	g1362
g1363	g1363
g1364	LCN1.1
g1366	MOXD1.5
g1370	g1370
g1372	g1372
g1373	g1373
g1374	g1374
g1377	g1377
g1379	g1379
g1381	g1381
g1382	g1382
g1383	g1383
g1384	RAB44
g1385	NDUFS3
g1386	g1386
g1387	RPE65
g1388	g1388
g1389	crml.1
g1391	PM20D2
g1392	PM20D2.1
g1393	g1393
g1394	PM20D2.2
g1395	g1395
g1396	g1396
g1397	g1397
g1398	DLL4
g1399	g1399
g1400	g1400
g1401	g1401
g1402	MRPL38
g1403	CUBN
g1404	g1404
g1405	g1405
g1406	g1406
g1407	g1407
g1408	g1408
g1409	g1409
g1410	g1410
g1411	g1411
g1412	g1412
g1413	FAT4
g1414	g1414
g1415	g1415
g1416	B3GNT3
g1418	g1418
g1419	eva.1
g1420	g1420
g1421	g1421
g1422	g1422
g1423	g1423
g1424	DYNC1LI1
g1425	g1425
g1426	g1426
g1427	g1427
g1428	g1428
g1429	g1429
g1430	g1430
g1431	g1431
g1432	g1432
g1433	g1433
g1434	g1434
g1435	g1435
g1436	g1436
g1437	g1437
g1438	g1438
g1439	FBXO31
g1441	SSNA1
g1442	RBM18
g1443	g1443
g1445	PDRG1
g1446	TTLL9
g1447	RAB22A
g1449	g1449
g1450	RSPH10B
g1451	ZDHHC7
g1452	KISS1R
g1453	ANO10
g1454	HNF4A
g1455	DCAF11
g1456	g1456
g1457	PDCD6
g1458	PDCD6.1
g1459	PDCD6.2
g1460	ANKS6
g1461	g1461
g1462	STX16
g1463	SLC7A9
g1464	SLC7A9.1
g1466	SLC7A9.2
g1467	RGSL1
g1468	g1468
g1469	PIGM
g1472	g1472
g1473	g1473
g1474	g1474
g1476	CPSF2
g1477	g1477
g1479	g1479
g1480	g1480
g1481	g1481
g1482	g1482
g1484	g1484
g1485	g1485
g1486	g1486
g1487	g1487
g1488	g1488
g1489	g1489
g1490	CTHRC1.2
g1491	g1491
g1492	g1492
g1493	g1493
g1494	g1494
g1495	g1495
g1496	g1496
g1497	g1497
g1498	g1498
g1499	g1499
g1500	g1500
g1501	g1501
g1502	CTHRC1.3
g1503	g1503
g1504	g1504
g1505	g1505
g1506	g1506
g1507	g1507
g1508	g1508
g1509	g1509
g1510	CTHRC1.4
g1511	g1511
g1512	g1512
g1513	g1513
g1514	g1514
g1515	g1515
g1516	CTHRC1.5
g1517	g1517
g1518	g1518
g1519	g1519
g1520	CTHRC1.6
g1521	g1521
g1522	CTHRC1.7
g1523	g1523
g1524	g1524
g1525	CTHRC1.8
g1526	g1526
g1527	g1527
g1528	g1528
g1529	g1529
g1530	g1530
g1531	CTHRC1.9
g1532	g1532
g1533	g1533
g1534	g1534
g1535	g1535
g1536	g1536
g1537	g1537
g1538	g1538
g1539	g1539
g1540	CTHRC1.10
g1541	CTHRC1.11
g1542	g1542
g1543	g1543
g1544	g1544
g1545	g1545
g1546	g1546
g1547	CTHRC1.12
g1548	CTHRC1.13
g1550	ATMIN
g1551	RPP40
g1552	CENPN
g1553	UBA2
g1554	TRPC4AP
g1555	g1555
g1556	g1556
g1558	CTHRC1.14
g1559	g1559
g1560	g1560
g1561	g1561
g1562	CTHRC1.15
g1563	g1563
g1564	CTHRC1.16
g1565	CTHRC1.17
g1566	g1566
g1567	g1567
g1568	CTHRC1.18
g1569	CTHRC1.19
g1570	g1570
g1571	CTHRC1.20
g1572	CTHRC1.21
g1573	g1573
g1574	g1574
g1575	CTHRC1.22
g1576	g1576
g1577	CTHRC1.23
g1578	g1578
g1579	g1579
g1580	g1580
g1581	g1581
g1582	g1582
g1583	g1583
g1585	g1585
g1586	g1586
g1590	DTNBP1
g1592	g1592
g1593	g1593
g1594	g1594
g1595	g1595
g1596	g1596
g1597	g1597
g1598	g1598
g1599	g1599
g1602	g1602
g1603	g1603
g1604	g1604
g1606	g1606
g1607	g1607
g1608	g1608
g1609	g1609
g1610	g1610
g1611	g1611
g1612	g1612
g1613	g1613
g1614	g1614
g1615	g1615
g1616	THAP2
g1617	g1617
g1618	g1618
g1619	g1619
g1620	g1620
g1621	g1621
g1622	g1622
g1623	g1623
g1624	g1624
g1625	g1625
g1626	g1626
g1627	g1627
g1628	g1628
g1629	g1629
g1631	g1631
g1632	g1632
g1633	Cbx8
g1634	g1634
g1635	g1635
g1636	g1636
g1637	g1637
g1639	g1639
g1640	ZC3H3
g1641	g1641
g1642	g1642
g1643	ADORA2B.1
g1644	GPR52
g1645	g1645
g1646	g1646
g1647	g1647
g1649	g1649
g1650	CTHRC1.24
g1651	g1651
g1652	g1652
g1653	g1653
g1654	g1654
g1655	g1655
g1656	g1656
g1657	g1657
g1659	g1659
g1660	g1660
g1661	g1661
g1662	g1662
g1663	g1663
g1664	CTHRC1.25
g1665	g1665
g1666	g1666
g1667	g1667
g1668	DBP7
g1669	EIF2AK1
g1670	g1670
g1671	UQCRFS1
g1672	RTTN
g1673	g1673
g1674	BOP1
g1675	g1675
g1676	g1676
g1677	g1677
g1678	TEPP
g1679	TEPP.1
g1680	HSF1
g1681	ORC6
g1682	g1682
g1683	g1683
g1684	InR
g1686	g1686
g1687	g1687
g1688	g1688
g1689	PLG
g1690	MUSK
g1691	PLG.1
g1692	InR.1
g1693	NOP9
g1694	g1694
g1695	DHX33
g1696	g1696
g1698	WDR59
g1699	WTIP
g1700	g1700
g1702	ATXN3
g1703	MARCH6
g1704	g1704
g1705	g1705
g1706	PIGT
g1707	hmr.1
g1708	hmr.1.1
g1709	FAT1
g1710	g1710
g1711	MRRF
g1712	g1712
g1713	g1713
g1714	g1714
g1715	g1715
g1717	g1717
g1718	KLHL2
g1719	RECQL4
g1720	CTHRC1.26
g1721	g1721
g1722	CTHRC1.27
g1723	GSS.1
g1725	CTHRC1.28
g1726	g1726
g1727	ectC
g1728	g1728
g1729	CKM
g1730	LYS1
g1731	LYS1.1
g1732	LYS1.2
g1733	g1733
g1734	LYS1.3
g1735	EDC4
g1736	CTDP1
g1737	PAPD5
g1738	SCRT2
g1739	CTNNBL1
g1740	C19orf40
g1741	g1741
g1742	g1742
g1743	g1743
g1744	g1744
g1745	g1745
g1746	KIAA1147
g1747	SCLY
g1748	g1748
g1749	g1749
g1750	g1750
g1751	EDC4.1
g1752	POLR3B
g1753	g1753
g1754	g1754
g1756	EDC4.2
g1757	g1757
g1758	g1758
g1760	g1760
g1761	g1761
g1762	g1762
g1764	ZBTB10
g1765	IPO4
g1766	MCM4
g1767	g1767
g1769	GMDS
g1770	g1770
g1771	g1771
g1772	g1772
g1773	croc
g1774	g1774
g1775	g1775
g1776	g1776
g1778	g1778
g1779	g1779
g1780	g1780
g1781	g1781
g1782	RNF31
g1783	POMGNT2
g1785	RBL1
g1786	NAGLU
g1787	TCF25
g1788	g1788
g1790	ZNFX1
g1791	ZNFX1.1
g1792	ZNFX1.2
g1794	ZNFX1.3
g1795	ZNFX1.4
g1797	TMEM42
g1798	EMC8
g1799	g1799
g1800	CHD7
g1801	VAT1
g1802	g1802
g1803	SNX16
g1804	g1804
g1805	g1805
g1806	g1806
g1807	g1807
g1808	g1808
g1809	g1809
g1810	SLC16A2
g1813	g1813
g1814	g1814
g1815	Tl
g1817	Tl.1
g1819	TRAF4
g1820	DDX1
g1821	SIRT5
g1822	ESRP2
g1823	CXorf38
g1824	FAM92A1.1
g1825	RBM12B
g1826	SOL1
g1827	CHMP4B
g1855	DNAH2
g1856	TRAF4.1
g1857	TRAF6
g1858	TRAF4.2
g1859	g1859
g1860	GPT2
g1861	GPT2.1
g1862	GPT
g1863	GPT2.2
g1864	g1864
g1865	g1865
g1866	GPT2.3
g1867	C16orf87
g1868	g1868
g1869	g1869
g1870	g1870
g1871	g1871
g1872	g1872
g1873	RTBDN
g1874	g1874
g1875	CTHRC1.29
g1876	g1876
g1877	g1877
g1878	g1878
g1879	g1879
g1880	g1880
g1881	SNTB1
g1882	g1882
g1883	ASRGL1
g1884	IMPA1
g1885	EDEM2
g1886	g1886
g1887	g1887
g1888	EXOSC7
g1889	OSGEP
g1890	PPP1R16B
g1891	g1891
g1892	UBE2QL1
g1893	TONSL
g1894	PSMG4
g1895	g1895
g1897	POMK.5
g1898	g1898
g1899	CNEP1R1
g1903	g1903
g1904	SNRPB
g1905	BLOC1S4
g1906	g1906
g1907	g1907
g1908	MDP1
g1910	SNRK
g1912	CBFA2T3
g1913	g1913
g1914	g1914
g1915	g1915
g1917	g1917
g1918	glo.1
g1919	RAB32
g1920	RAB32.1
g1921	RAB32.2
g1922	g1922
g1923	RAB29
g1924	g1924
g1925	g1925
g1926	TRIM45
g1929	WWOX
g1930	MAF1
g1931	g1931
g1932	CIB2
g1933	g1933
g1934	g1934
g1935	BUR1
g1936	g1936
g1937	g1937
g1938	g1938
g1940	SLC16A2.1
g1941	SLC16A2.2
g1943	CKMT2
g1944	g1944
g1945	g1945
g1946	g1946
g1947	NRP1
g1949	PLLP
g1950	CMTM7
g1951	HAUS4
g1952	g1952
g1953	TRAF6.1
g1954	g1954
g1956	g1956
g1957	g1957
g1958	TBC1D20
g1959	CDIP1
g1960	g1960
g1961	g1961
g1962	ser.2
g1963	SUPT16H
g1964	PRRT4.1
g1965	PRRT4.2
g1966	PRRT4.3
g1968	VAC14
g1969	VAC14.1
g1970	NDUFS6
g1971	RP9
g1972	SLC25A25
g1973	g1973
g1974	g1974
g1975	g1975
g1976	g1976
g1977	g1977
g1978	g1978
g1979	g1979
g1980	g1980
g1981	g1981
g1982	TRAPPC8
g1983	g1983
g1987	CMTM4
g1988	CMTM4.1
g1998	g1998
g1999	UTP3
g2001	g2001
g2004	g2004
g2005	MUSK.1
g2006	PTPRD
g2007	HGF
g2008	THTPA
g2009	g2009
g2010	DPM1
g2012	RPL14
g2013	KLHL3
g2014	g2014
g2015	DHX38
g2016	CFLAR
g2017	g2017
g2018	g2018
g2019	g2019
g2020	g2020
g2021	g2021
g2022	UBE2V2
g2023	g2023
g2026	CNOT1.1
g2027	g2027
g2028	g2028
g2029	g2029
g2030	g2030
g2031	g2031
g2032	g2032
g2033	g2033
g2037	FOXF1
g2038	g2038
g2039	RAPSN
g2040	g2040
g2041	g2041
g2042	g2042
g2043	g2043
g2044	g2044
g2045	g2045
g2046	g2046
g2048	DUS2
g2050	NRP2
g2051	g2051
g2052	SF3B3
g2053	g2053
g2054	GCSH
g2057	GSS.2
g2059	GSS.3
g2060	NGDN
g2061	g2061
g2062	TLDC1
g2063	XPNPEP2
g2064	CDADC1
g2065	g2065
g2066	g2066
g2067	GPR97
g2069	MAF.3
g2074	g2074
g2075	g2075
g2078	g2078
g2080	g2080
g2085	CEP72
g2086	TPPP2
g2087	NAPG
g2088	FAT4.1
g2089	g2089
g2090	g2090
g2091	g2091
g2092	g2092
g2093	APCDD1
g2094	g2094
g2095	SPIDR
g2098	KHK
g2099	MAB21L3
g2100	KPNA2
g2101	g2101
g2102	g2102
g2103	g2103
g2104	CHSY1
g2105	CHSY1.1
g2106	ZC3H18
g2107	g2107
g2108	PLCG2
g2109	PLEKHG4B
g2110	DIO1
g2111	NKD1
g2112	g2112
g2113	EXOC2
g2114	g2114
g2115	RSPH4A
g2116	g2116
g2117	g2117
g2118	NBN
g2119	g2119
g2120	PCK1
g2121	PCK1.1
g2122	PTPN2
g2123	COMMD4
g2124	KDELC1
g2127	g2127
g2128	g2128
g2129	g2129
g2130	NEDD9
g2131	TMEM170B
g2132	g2132
g2133	CFDP1
g2134	PYROXD1
g2135	WWP1
g2136	CIRH1A
g2137	NSUN2
g2138	CIAPIN1
g2139	RPUSD2
g2140	g2140
g2141	SDCCAG3
g2142	C8orf74
g2143	g2143
g2144	C2orf70
g2145	g2145
g2146	CPSF1
g2147	CFAP20
g2150	NEK11
g2151	DCTN6
g2152	SHCBP1
g2154	ZFAND1
g2155	PSMG2
g2156	zcchc14
g2158	g2158
g2160	g2160
g2161	g2161
g2163	SLC43A2
g2164	g2164
g2165	NOB1
g2166	ANKS6.1
g2167	VAPA
g2168	g2168
g2169	SEC22B
g2170	g2170
g2171	MRPS35
g2172	g2172
g2173	g2173
g2174	g2174
g2175	g2175
g2176	g2176
g2178	g2178
g2181	g2181
g2182	CNOT10
g2183	g2183
g2184	g2184
g2185	g2185
g2186	g2186
g2187	g2187
g2188	g2188
g2189	g2189
g2193	g2193
g2198	g2198
g2200	g2200
g2201	PRDM11
g2202	g2202
g2205	g2205
g2206	g2206
g2208	g2208
g2211	g2211
g2213	g2213
g2214	g2214
g2215	g2215
g2216	g2216
g2217	tor
g2218	DFFA
g2219	C14orf28
g2221	g2221
g2223	NAIF1
g2225	pogk
g2226	g2226
g2227	g2227
g2230	g2230
