Protein_ID	COG_category
evm.model.Ap11.1701	S
evm.model.Ap11.1700	S
evm.model.Ap11.1703	J
evm.model.Ap11.1702	D
evm.model.Ap11.1705	S
evm.model.Ap11.1704	S
evm.model.Ap11.1707	U
evm.model.Ap11.1706	T
evm.model.Ap11.1709	S
evm.model.Ap11.1517	EG
evm.model.Ap11.209	D
evm.model.Ap11.514	L
evm.model.Ap11.515	O
evm.model.Ap11.513	L
evm.model.Ap11.510	S
evm.model.Ap11.511	S
evm.model.Ap11.1617	K
evm.model.Ap11.1616	K
evm.model.Ap11.286	S
evm.model.Ap11.287	K
evm.model.Ap11.282	O
evm.model.Ap11.281	O
evm.model.Ap11.1909	O
evm.model.Ap11.1908	O
evm.model.Ap11.1907	U
evm.model.Ap11.1906	S
evm.model.Ap11.1903	M
evm.model.Ap11.1902	S
evm.model.Ap11.1902.1.5f15df62	S
evm.model.Ap11.1901	T
evm.model.Ap11.1900	S
evm.model.Ap11.1019	L
evm.model.Ap11.1018	-
evm.model.Ap11.1252	-
evm.model.Ap11.1251	-
evm.model.Ap11.1257	T
evm.model.Ap11.1254	T
evm.model.Ap11.1259	-
evm.model.Ap11.1785	GMO
evm.model.Ap11.1784	F
evm.model.Ap11.1786	S
evm.model.Ap11.127	C
evm.model.Ap11.126	C
evm.model.Ap11.125	C
evm.model.Ap11.829	A
evm.model.Ap11.824	S
evm.model.Ap11.822	S
evm.model.Ap11.820	T
evm.model.Ap11.821	S
evm.model.Ap11.93	U
evm.model.Ap11.94	-
evm.model.Ap11.95	-
evm.model.Ap11.96	S
evm.model.Ap11.97	T
evm.model.Ap11.1425	T
evm.model.Ap11.1426	K
evm.model.Ap11.1427	K
evm.model.Ap11.1421	U
evm.model.Ap11.1422	VW
evm.model.Ap11.599	T
evm.model.Ap11.78	S
evm.model.Ap11.79	P
evm.model.Ap11.1472	K
evm.model.Ap11.1474	Z
evm.model.Ap11.419	L
evm.model.Ap11.418	IMO
evm.model.Ap11.413	S
evm.model.Ap11.417	G
evm.model.Ap11.416	G
evm.model.Ap11.415	O
evm.model.Ap11.414	A
evm.model.Ap11.1099	OT
evm.model.Ap11.1098	Z
evm.model.Ap11.1093	O
evm.model.Ap11.1092	S
evm.model.Ap11.1094	S
evm.model.Ap11.1097	T
evm.model.Ap11.1096	LT
evm.model.Ap11.707	U
evm.model.Ap11.658	O
evm.model.Ap11.653	A
evm.model.Ap11.656	O
evm.model.Ap11.76	T
evm.model.Ap11.75	O
evm.model.Ap11.1355	S
evm.model.Ap11.1353	Q
evm.model.Ap11.1350	S
evm.model.Ap11.1358	S
evm.model.Ap11.1833	S
evm.model.Ap11.1831	O
evm.model.Ap11.1830	O
evm.model.Ap11.1839	S
evm.model.Ap11.949	L
evm.model.Ap11.941	-
evm.model.Ap11.940	G
evm.model.Ap11.942	K
evm.model.Ap11.945	S
evm.model.Ap11.944	Z
evm.model.Ap11.497	S
evm.model.Ap11.1675	S
evm.model.Ap11.1675.1.5f15de93	S
evm.model.Ap11.1676	DKL
evm.model.Ap11.236	J
evm.model.Ap11.235	K
evm.model.Ap11.235.1.5f15dbca	K
evm.model.Ap11.234	H
evm.model.Ap11.231	P
evm.model.Ap11.230	P
evm.model.Ap11.239	L
evm.model.Ap11.238	L
evm.model.Ap11.853	IQ
evm.model.Ap11.852	-
evm.model.Ap11.851	-
evm.model.Ap11.850	-
evm.model.Ap11.857	L
evm.model.Ap11.856	S
evm.model.Ap11.856.2.5f15dc76	S
evm.model.Ap11.856.1.5f15dc76	S
evm.model.Ap11.854	J
evm.model.Ap11.1196	-
evm.model.Ap11.1190	K
evm.model.Ap11.1191	K
evm.model.Ap11.1192	G
evm.model.Ap11.1193	S
evm.model.Ap11.1738	BD
evm.model.Ap11.1739	-
evm.model.Ap11.1732	O
evm.model.Ap11.1734	O
evm.model.Ap11.1737	G
evm.model.Ap11.1751	U
evm.model.Ap11.523	T
evm.model.Ap11.529	-
evm.model.Ap11.528	S
evm.model.Ap11.1546	J
evm.model.Ap11.1544	U
evm.model.Ap11.1542	U
evm.model.Ap11.1541	U
evm.model.Ap11.1540	A
evm.model.Ap11.1028	CO
evm.model.Ap11.1029	L
evm.model.Ap11.1023	B
evm.model.Ap11.1023.1.5f15dce0	B
evm.model.Ap11.1024	TU
evm.model.Ap11.1026	L
evm.model.Ap11.175	U
evm.model.Ap11.176	G
evm.model.Ap11.817.1.5f15dc67	-
evm.model.Ap11.817	-
evm.model.Ap11.814	-
evm.model.Ap11.813	S
evm.model.Ap11.811	P
evm.model.Ap11.810	BT
evm.model.Ap11.819	S
evm.model.Ap11.818	S
evm.model.Ap11.1667_evm.model.Ap11.1672	O
evm.model.Ap11.63	T
evm.model.Ap11.65	J
evm.model.Ap11.1471	U
evm.model.Ap11.1470	TZ
evm.model.Ap11.1470.1.5f15ddf6	TZ
evm.model.Ap11.1476	C
evm.model.Ap11.1475	KT
evm.model.Ap11.25	S
evm.model.Ap11.20	S
evm.model.Ap11.544	O
evm.model.Ap11.546	T
evm.model.Ap11.541	S
evm.model.Ap11.543	S
evm.model.Ap11.729	S
evm.model.Ap11.727	S
evm.model.Ap11.680	T
evm.model.Ap11.681	OP
evm.model.Ap11.686	-
evm.model.Ap11.684	-
evm.model.Ap11.1223	S
evm.model.Ap11.895	-
evm.model.Ap11.893	-
evm.model.Ap11.1749	Q
evm.model.Ap11.1743	L
evm.model.Ap11.1742	O
evm.model.Ap11.1389	E
evm.model.Ap11.1385	O
evm.model.Ap11.1387	S
evm.model.Ap11.1386	T
evm.model.Ap11.1381	O
evm.model.Ap11.1383	O
evm.model.Ap11.1382	T
evm.model.Ap11.1117.1.5f15dd2b.1.5f168844	T
evm.model.Ap11.1117	T
evm.model.Ap11.1117.1.5f15dd2b	T
evm.model.Ap11.347	-
evm.model.Ap11.345	O
evm.model.Ap11.66	S
evm.model.Ap11.1730_evm.model.Ap11.1731	T
evm.model.Ap11.992	T
evm.model.Ap11.994	L
evm.model.Ap11.999	S
evm.model.Ap11.1644	H
evm.model.Ap11.1645	J
evm.model.Ap11.1646	E
evm.model.Ap11.1647	E
evm.model.Ap11.1640	O
evm.model.Ap11.1641	T
evm.model.Ap11.1648	E
evm.model.Ap11.1649	AJ
evm.model.Ap11.758	L
evm.model.Ap11.754	S
evm.model.Ap11.755	P
evm.model.Ap11.602	J
evm.model.Ap11.603	J
evm.model.Ap11.601	S
evm.model.Ap11.606	O
evm.model.Ap11.929	L
evm.model.Ap11.1003_evm.model.Ap11.1005.1.5f1687b8	-
evm.model.Ap11.1003_evm.model.Ap11.1005	-
evm.model.Ap11.1305	S
evm.model.Ap11.1307	O
evm.model.Ap11.1306	S
evm.model.Ap11.1300	K
evm.model.Ap11.1309	O
evm.model.Ap11.1842	T
evm.model.Ap11.1843	S
evm.model.Ap11.1846	L
evm.model.Ap11.1847	L
evm.model.Ap11.1844	E
evm.model.Ap11.1849	A
evm.model.Ap11.919	L
evm.model.Ap11.912	C
evm.model.Ap11.913	-
evm.model.Ap11.911	IQ
evm.model.Ap11.915	-
evm.model.Ap11.1536	S
evm.model.Ap11.1537	S
evm.model.Ap11.1534	GQ
evm.model.Ap11.1532	S
evm.model.Ap11.1533	GQ
evm.model.Ap11.1530	I
evm.model.Ap11.269	D
evm.model.Ap11.263	L
evm.model.Ap11.264	W
evm.model.Ap11.1767	U
evm.model.Ap11.1766	T
evm.model.Ap11.1765	-
evm.model.Ap11.1764	T
evm.model.Ap11.1763	K
evm.model.Ap11.1762	U
evm.model.Ap11.1761	J
evm.model.Ap11.1760	Q
evm.model.Ap11.1769	O
evm.model.Ap11.1768	K
evm.model.Ap11.570	T
evm.model.Ap11.572	S
evm.model.Ap11.574	T
evm.model.Ap11.575	O
evm.model.Ap11.576	L
evm.model.Ap11.1858	K
evm.model.Ap11.778	BT
evm.model.Ap11.779	O
evm.model.Ap11.552	O
evm.model.Ap11.553	S
evm.model.Ap11.556	I
evm.model.Ap11.555	O
evm.model.Ap11.1072	G
evm.model.Ap11.1071	P
evm.model.Ap11.1070	P
evm.model.Ap11.1270	Z
evm.model.Ap11.1277	T
evm.model.Ap11.104	C
evm.model.Ap11.100	O
evm.model.Ap11.109	C
evm.model.Ap11.108	-
evm.model.Ap11.849	-
evm.model.Ap11.1781	T
evm.model.Ap11.1780	U
evm.model.Ap11.1408	S
evm.model.Ap11.1402	-
evm.model.Ap11.1406	C
evm.model.Ap11.1405	S
evm.model.Ap11.56	O
evm.model.Ap11.57	S
evm.model.Ap11.59	T
evm.model.Ap11.314	O
evm.model.Ap11.316	S
evm.model.Ap11.317	S
evm.model.Ap11.310	S
evm.model.Ap11.312	O
evm.model.Ap11.319	S
evm.model.Ap11.1891	Z
evm.model.Ap11.1893	T
evm.model.Ap11.1894	-
evm.model.Ap11.1899.1.5f15df5d	O
evm.model.Ap11.1899	O
evm.model.Ap11.1898	T
evm.model.Ap11.711	S
evm.model.Ap11.712	S
evm.model.Ap11.1613	K
evm.model.Ap11.1615.1.5f15de5a	K
evm.model.Ap11.1615	K
evm.model.Ap11.1614	K
evm.model.Ap11.632	S
evm.model.Ap11.631	S
evm.model.Ap11.630	S
evm.model.Ap11.637	S
evm.model.Ap11.639	S
evm.model.Ap11.638	S
evm.model.Ap11.189	V
evm.model.Ap11.188	Z
evm.model.Ap11.185	Z
evm.model.Ap11.184	F
evm.model.Ap11.186	K
evm.model.Ap11.181	PT
evm.model.Ap11.1134	O
evm.model.Ap11.1134.1.5f15dd34	O
evm.model.Ap11.781	U
evm.model.Ap11.787	S
evm.model.Ap11.784	Z
evm.model.Ap11.253	W
evm.model.Ap11.252	W
evm.model.Ap11.1338	Q
evm.model.Ap11.1336	T
evm.model.Ap11.1337	S
evm.model.Ap11.1480	S
evm.model.Ap11.1481	S
evm.model.Ap11.1486	S
evm.model.Ap11.398	ET
evm.model.Ap11.399	ET
evm.model.Ap11.394	J
evm.model.Ap11.395	S
evm.model.Ap11.390	S
evm.model.Ap11.392	KLT
evm.model.Ap11.393	T
evm.model.Ap11.1819	G
evm.model.Ap11.1810	G
evm.model.Ap11.1813	O
evm.model.Ap11.1812	S
evm.model.Ap11.1814	G
evm.model.Ap11.1817	G
evm.model.Ap11.1816	G
evm.model.Ap11.1679	S
evm.model.Ap11.927	O
evm.model.Ap11.925	L
evm.model.Ap11.928	L
evm.model.Ap11.1691	S
evm.model.Ap11.1690	-
evm.model.Ap11.1697	K
evm.model.Ap11.1695	K
evm.model.Ap11.1694	Z
evm.model.Ap11.1699	K
evm.model.Ap11.1698	F
evm.model.Ap11.211	T
evm.model.Ap11.210	K
evm.model.Ap11.213	O
evm.model.Ap11.216	OU
evm.model.Ap11.219	UY
evm.model.Ap11.218	T
evm.model.Ap11.1717	S
evm.model.Ap11.1714	T
evm.model.Ap11.1712	T
evm.model.Ap11.1713	S
evm.model.Ap11.1710	S
evm.model.Ap11.1711	S
evm.model.Ap11.388	O
evm.model.Ap11.384	S
evm.model.Ap11.381	P
evm.model.Ap11.596	J
evm.model.Ap11.595	S
evm.model.Ap11.592	Z
evm.model.Ap11.591	S
evm.model.Ap11.501	S
evm.model.Ap11.500	T
evm.model.Ap11.504	T
evm.model.Ap11.507	T
evm.model.Ap11.506	T
evm.model.Ap11.509	T
evm.model.Ap11.508	T
evm.model.Ap11.749	O
evm.model.Ap11.743	S
evm.model.Ap11.741	S
evm.model.Ap11.1563	L
evm.model.Ap11.1562	L
evm.model.Ap11.298	K
evm.model.Ap11.293	S
evm.model.Ap11.295	U
evm.model.Ap11.294	S
evm.model.Ap11.297	I
evm.model.Ap11.296	I
evm.model.Ap11.1910	J
evm.model.Ap11.386_evm.model.Ap11.387	S
evm.model.Ap11.1242	O
evm.model.Ap11.1243	O
evm.model.Ap11.1245.1.5f15dd71	O
evm.model.Ap11.1245	O
evm.model.Ap11.1249	-
evm.model.Ap11.1796	T
evm.model.Ap11.1794	F
evm.model.Ap11.1795	S
evm.model.Ap11.1792	S
evm.model.Ap11.1798	S
evm.model.Ap11.1799	O
evm.model.Ap11.833	O
evm.model.Ap11.833.1.5f168710	O
evm.model.Ap11.832	OT
evm.model.Ap11.835	T
evm.model.Ap11.837	K
evm.model.Ap11.836.1.5f15dc6e	S
evm.model.Ap11.836	S
evm.model.Ap11.1752	I
evm.model.Ap11.1750	Q
evm.model.Ap11.589	T
evm.model.Ap11.588	T
evm.model.Ap11.583	O
evm.model.Ap11.585	K
evm.model.Ap11.587	O
evm.model.Ap11.586	S
evm.model.Ap11.1450	H
evm.model.Ap11.1453	O
evm.model.Ap11.1459	A
evm.model.Ap11.1458	Z
evm.model.Ap11.8	J
evm.model.Ap11.9	J
evm.model.Ap11.1545_evm.model.Ap11.1567	O
evm.model.Ap11.1545_evm.model.Ap11.1567.1.5f168a0f	O
evm.model.Ap11.1084	S
evm.model.Ap11.1083	L
evm.model.Ap11.861	I
evm.model.Ap11.669	E
evm.model.Ap11.664	S
evm.model.Ap11.665	V
evm.model.Ap11.662	Z
evm.model.Ap11.1680	A
evm.model.Ap11.1681	K
evm.model.Ap11.1684	S
evm.model.Ap11.1363	S
evm.model.Ap11.1362	S
evm.model.Ap11.1360	S
evm.model.Ap11.1367	J
evm.model.Ap11.1366	J
evm.model.Ap11.87	T
evm.model.Ap11.86	U
evm.model.Ap11.82	K
evm.model.Ap11.81	P
evm.model.Ap11.89	N
evm.model.Ap11.88	D
evm.model.Ap11.1821	G
evm.model.Ap11.1822	G
evm.model.Ap11.1823	G
evm.model.Ap11.1824	G
evm.model.Ap11.1827	G
evm.model.Ap11.1828	J
evm.model.Ap11.1829	J
evm.model.Ap11.979	K
evm.model.Ap11.974	E
evm.model.Ap11.1008	-
evm.model.Ap11.1004	-
evm.model.Ap11.1002	-
evm.model.Ap11.1000	-
evm.model.Ap11.792	S
evm.model.Ap11.796	ET
evm.model.Ap11.240	T
evm.model.Ap11.1724	G
evm.model.Ap11.1294	S
evm.model.Ap11.1291	S
evm.model.Ap11.1290	S
evm.model.Ap11.1299	S
evm.model.Ap11.1745	L
evm.model.Ap11.1744	L
evm.model.Ap11.1746	O
evm.model.Ap11.1740	G
evm.model.Ap11.167	B
evm.model.Ap11.163	-
evm.model.Ap11.161	O
evm.model.Ap11.1186	K
evm.model.Ap11.559	S
evm.model.Ap11.1469	P
evm.model.Ap11.1460	T
evm.model.Ap11.1463	-
evm.model.Ap11.1464	MV
evm.model.Ap11.1465	K
evm.model.Ap11.1466	S
evm.model.Ap11.37	S
evm.model.Ap11.32	-
evm.model.Ap11.1114	T
evm.model.Ap11.1115	T
evm.model.Ap11.1119	T
evm.model.Ap11.719	K
evm.model.Ap11.457	L
evm.model.Ap11.455	-
evm.model.Ap11.454	L
evm.model.Ap11.453	L
evm.model.Ap11.458	L
evm.model.Ap11.1058	G
evm.model.Ap11.1054	S
evm.model.Ap11.703	O
evm.model.Ap11.702	-
evm.model.Ap11.701	-
evm.model.Ap11.700	O
evm.model.Ap11.705	K
evm.model.Ap11.695	-
evm.model.Ap11.694	S
evm.model.Ap11.697	O
evm.model.Ap11.696	-
evm.model.Ap11.693	J
evm.model.Ap11.1219	L
evm.model.Ap11.1218	L
evm.model.Ap11.1217	J
evm.model.Ap11.1216	L
evm.model.Ap11.1215	L
evm.model.Ap11.1212	-
evm.model.Ap11.1535	I
evm.model.Ap11.1535.1.5f15de28	I
evm.model.Ap11.1159	O
evm.model.Ap11.1152	J
evm.model.Ap11.1156	S
evm.model.Ap11.1157	K
evm.model.Ap11.866	E
evm.model.Ap11.867	T
evm.model.Ap11.864	T
evm.model.Ap11.865	S
evm.model.Ap11.869	O
evm.model.Ap11.1398	O
evm.model.Ap11.1399	O
evm.model.Ap11.1392	E
evm.model.Ap11.1393	E
evm.model.Ap11.1390	S
evm.model.Ap11.1395	E
evm.model.Ap11.339	T
evm.model.Ap11.336	O
evm.model.Ap11.334	T
evm.model.Ap11.335	O
evm.model.Ap11.333	S
evm.model.Ap11.330	G
evm.model.Ap11.331	G
evm.model.Ap11.987	T
evm.model.Ap11.986	T
evm.model.Ap11.983	A
evm.model.Ap11.989	V
evm.model.Ap11.988	O
evm.model.Ap11.1588	C
evm.model.Ap11.1583	S
evm.model.Ap11.1582	T
evm.model.Ap11.1581	Q
evm.model.Ap11.1580	S
evm.model.Ap11.1586	T
evm.model.Ap11.1584	T
evm.model.Ap11.1630	S
evm.model.Ap11.1632	T
evm.model.Ap11.1637	G
evm.model.Ap11.1639	O
evm.model.Ap11.1638	G
evm.model.Ap11.619	L
evm.model.Ap11.615	E
evm.model.Ap11.614	S
evm.model.Ap11.610	DN
evm.model.Ap11.372	Z
evm.model.Ap11.373	H
evm.model.Ap11.371	U
evm.model.Ap11.376	-
evm.model.Ap11.377	O
evm.model.Ap11.374	L
evm.model.Ap11.375	G
evm.model.Ap11.1313	Q
evm.model.Ap11.1311	O
evm.model.Ap11.1317	S
evm.model.Ap11.1314	S
evm.model.Ap11.1879	J
evm.model.Ap11.1874	T
evm.model.Ap11.1873	T
evm.model.Ap11.1872	O
evm.model.Ap11.1871	-
evm.model.Ap11.1870	T
evm.model.Ap11.909	T
evm.model.Ap11.904	S
evm.model.Ap11.904.1.5f15dc94	S
evm.model.Ap11.900	T
evm.model.Ap11.903	Z
evm.model.Ap11.902	S
evm.model.Ap11.1503	A
evm.model.Ap11.1508	S
evm.model.Ap11.272	P
evm.model.Ap11.271	CO
evm.model.Ap11.270	D
evm.model.Ap11.274	UY
evm.model.Ap11.1775	T
evm.model.Ap11.1776.1.5f15deeb	IU
evm.model.Ap11.1776	IU
evm.model.Ap11.1777	O
evm.model.Ap11.1770	S
evm.model.Ap11.1771	-
evm.model.Ap11.1772	O
evm.model.Ap11.1773	E
evm.model.Ap11.1778	O
evm.model.Ap11.568	O
evm.model.Ap11.567	T
evm.model.Ap11.565	O
evm.model.Ap11.564	T
evm.model.Ap11.1066	O
evm.model.Ap11.1067	P
evm.model.Ap11.1063	J
evm.model.Ap11.1068	L
evm.model.Ap11.1069	L
evm.model.Ap11.6	O
evm.model.Ap11.7	V
evm.model.Ap11.4	C
evm.model.Ap11.5	T
evm.model.Ap11.3	T
evm.model.Ap11.332_evm.model.Ap11.328	O
evm.model.Ap11.1267	T
evm.model.Ap11.1264	EG
evm.model.Ap11.1265	EG
evm.model.Ap11.1262	-
evm.model.Ap11.1263	EG
evm.model.Ap11.1261	-
evm.model.Ap11.1268	S
evm.model.Ap11.1269	S
evm.model.Ap11.138	I
evm.model.Ap11.130	C
evm.model.Ap11.131	C
evm.model.Ap11.132	C
evm.model.Ap11.133	C
evm.model.Ap11.134	V
evm.model.Ap11.134.1.5f1685b0	V
evm.model.Ap11.137	T
evm.model.Ap11.859	Q
evm.model.Ap11.858	S
evm.model.Ap11.493	S
evm.model.Ap11.492	S
evm.model.Ap11.491	S
evm.model.Ap11.490	S
evm.model.Ap11.494	S
evm.model.Ap11.1673	EG
evm.model.Ap11.1437	TZ
evm.model.Ap11.1436	S
evm.model.Ap11.1435	S
evm.model.Ap11.1439	S
evm.model.Ap11.1438	S
evm.model.Ap11.307	S
evm.model.Ap11.306	T
evm.model.Ap11.304	T
evm.model.Ap11.303	O
evm.model.Ap11.302	K
evm.model.Ap11.309	S
evm.model.Ap11.308	S
evm.model.Ap11.1888	S
evm.model.Ap11.1886	O
evm.model.Ap11.1887	O
evm.model.Ap11.1885	S
evm.model.Ap11.1882	S
evm.model.Ap11.1880	T
evm.model.Ap11.1881.1.5f15df4b	S
evm.model.Ap11.1881	S
evm.model.Ap11.177_evm.model.Ap11.179	G
evm.model.Ap11.408	L
evm.model.Ap11.401	S
evm.model.Ap11.404	O
evm.model.Ap11.405	O
evm.model.Ap11.406	Q
evm.model.Ap11.407	ET
evm.model.Ap11.1608	L
evm.model.Ap11.1609	AL
evm.model.Ap11.1601	J
evm.model.Ap11.1602	U
evm.model.Ap11.1603	T
evm.model.Ap11.1604	-
evm.model.Ap11.1605	T
evm.model.Ap11.1606	E
evm.model.Ap11.1607	AL
evm.model.Ap11.1036	-
evm.model.Ap11.646	Z
evm.model.Ap11.644	H
evm.model.Ap11.645	Z
evm.model.Ap11.643	-
evm.model.Ap11.640	S
evm.model.Ap11.641	S
evm.model.Ap11.649	S
evm.model.Ap11.759	-
evm.model.Ap11.1107	GOU
evm.model.Ap11.1106	UY
evm.model.Ap11.1105	S
evm.model.Ap11.1104	C
evm.model.Ap11.1103	S
evm.model.Ap11.1102	S
evm.model.Ap11.1101	-
evm.model.Ap11.1109	T
evm.model.Ap11.1419	S
evm.model.Ap11.1418	T
evm.model.Ap11.1411	L
evm.model.Ap11.1410	M
evm.model.Ap11.1349	S
evm.model.Ap11.1341	S
evm.model.Ap11.1340	O
evm.model.Ap11.1343	Q
